City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
58,Lorengau,-2.0226,147.2712,82.49,77,78,11.16,PG,2021-05-29 18:32:18
59,Vaini,-21.2,-175.2,71.76,100,75,2.3,TO,2021-05-29 18:32:19
60,Rantepao,-2.9701,119.8978,67.12,98,63,1.97,ID,2021-05-29 18:32:19
61,Bredasdorp,-34.5322,20.0403,54.72,88,5,5.59,ZA,2021-05-29 18:32:19
62,Coihaique,-45.5752,-72.0662,44.6,57,90,5.75,CL,2021-05-29 18:32:20
63,Bluff,-46.6,168.3333,49.8,86,100,20.07,NZ,2021-05-29 18:32:20
64,Mojo,8.6,39.1167,70.32,46,70,6.06,ET,2021-05-29 18:30:24
65,Bilibino,68.0546,166.4372,46.65,57,40,2.33,RU,2021-05-29 18:32:21
66,Anadyr,64.75,177.4833,39.7,55,0,8.01,RU,2021-05-29 18:32:21
67,Morden,49.1919,-98.1014,71.8,32,80,13.8,CA,2021-05-29 18:32:22
68,Vila Franca Do Campo,37.7167,-25.4333,66.61,72,54,3.98,PT,2021-05-29 18:32:22
69,Homer,59.6425,-151.5483,49.08,87,90,5.01,US,2021-05-29 18:32:22
70,Cunday,4.06,-74.6921,81.88,74,100,2.8,CO,2021-05-29 18:32:23
71,Mandurah,-32.55,115.7,60.98,73,5,15.46,AU,2021-05-29 18:32:23
72,Atuona,-9.8,-139.0333,78.69,72,28,9.82,PF,2021-05-29 18:32:24
73,Faanui,-16.4833,-151.75,79.3,69,86,3.56,PF,2021-05-29 18:32:24
74,Kavieng,-2.5744,150.7967,81.99,80,100,14.07,PG,2021-05-29 18:32:24
75,San Patricio,28.017,-97.5169,79.52,70,52,11.56,US,2021-05-29 18:32:25
76,Ilulissat,69.2167,-51.1,60.82,20,40,21.85,GL,2021-05-29 18:31:41
77,Salalah,17.0151,54.0924,84.29,89,75,8.05,OM,2021-05-29 18:32:25
78,Bennington,42.8781,-73.1968,52.45,76,90,0.0,US,2021-05-29 18:29:05
79,Klaksvik,62.2266,-6.589,50.92,78,7,13.67,FO,2021-05-29 18:32:25
80,Leshukonskoye,64.8989,45.7622,35.13,80,100,12.06,RU,2021-05-29 18:32:26
81,Pringsewu,-5.3582,104.9744,73.98,97,100,3.76,ID,2021-05-29 18:32:26
82,Awbari,26.5921,12.7805,96.08,9,0,5.97,LY,2021-05-29 18:32:27
83,Muroto,33.2833,134.15,68.49,72,98,10.25,JP,2021-05-29 18:32:27
84,Bardsir,29.9227,56.5743,75.25,11,6,4.18,IR,2021-05-29 18:28:14
85,Port Alfred,-33.5906,26.891,61.03,75,100,28.01,ZA,2021-05-29 18:30:34
86,Menongue,-14.6585,17.691,56.91,34,0,4.16,AO,2021-05-29 18:32:28
87,Fortuna,40.5982,-124.1573,55.65,86,90,11.5,US,2021-05-29 18:32:28
88,Hobart,-42.8794,147.3294,45.27,78,90,1.99,AU,2021-05-29 18:30:28
89,Tanout,14.9709,8.8879,90.25,19,93,2.66,NE,2021-05-29 18:32:29
90,Ponta Do Sol,32.6667,-17.1,71.13,61,34,4.92,PT,2021-05-29 18:31:56
91,Thurso,58.5927,-3.5259,46.4,93,75,3.44,GB,2021-05-29 18:30:11
92,Olafsvik,64.8945,-23.7142,44.64,89,100,29.55,IS,2021-05-29 18:32:09
93,Saint Simons,31.1352,-81.3901,89.6,55,40,8.05,US,2021-05-29 18:32:30
94,Pisco,-13.7,-76.2167,67.01,88,90,8.05,PE,2021-05-29 18:30:35
95,Boca Do Acre,-8.7522,-67.3978,85.95,60,100,1.03,BR,2021-05-29 18:32:31
96,Gorodets,56.6514,43.475,61.0,100,75,4.47,RU,2021-05-29 18:32:31
97,Ancud,-41.8697,-73.8203,50.43,72,100,8.19,CL,2021-05-29 18:32:31
98,Muros,42.7762,-9.0603,73.69,56,71,10.67,ES,2021-05-29 18:30:36
99,Port Moresby,-9.4431,147.1797,74.62,83,75,3.44,PG,2021-05-29 18:32:32
100,Mayo,38.8876,-76.5119,54.37,92,90,18.01,US,2021-05-29 18:32:32
101,Tuatapere,-46.1333,167.6833,49.82,93,100,7.94,NZ,2021-05-29 18:32:33
102,Port Macquarie,-31.4333,152.9167,52.9,80,88,15.12,AU,2021-05-29 18:31:26
103,Kadyy,57.787,43.1903,47.28,94,100,12.39,RU,2021-05-29 18:32:33
104,Bibiani,6.4635,-2.3194,78.84,80,66,3.47,GH,2021-05-29 18:32:34
105,Hervey Bay,-25.2986,152.8535,57.04,68,100,3.0,AU,2021-05-29 18:32:34
106,Hithadhoo,-0.6,73.0833,83.37,72,96,16.44,MV,2021-05-29 18:32:35
107,Sao Jose Do Egito,-7.4789,-37.2744,86.9,27,25,10.36,BR,2021-05-29 18:32:35
108,Trairi,-3.2778,-39.2689,85.46,63,73,10.76,BR,2021-05-29 18:28:42
109,Khash,28.2211,61.2158,82.58,11,0,6.13,IR,2021-05-29 18:28:19
110,Umm Lajj,25.0213,37.2685,85.98,56,100,6.73,SA,2021-05-29 18:32:36
111,Tiksi,71.6872,128.8694,30.79,97,85,8.41,RU,2021-05-29 18:32:36
112,Lake City,30.1897,-82.6393,90.93,48,90,16.11,US,2021-05-29 18:32:36
113,Ribeira Grande,38.5167,-28.7,66.6,72,75,0.0,PT,2021-05-29 18:30:24
114,Tateyama,34.9833,139.8667,68.05,86,100,4.36,JP,2021-05-29 18:32:37
115,Kathu,7.9178,98.3332,85.62,70,79,2.75,TH,2021-05-29 18:32:37
116,Bethel,41.3712,-73.414,49.5,89,100,3.0,US,2021-05-29 18:32:37
117,Upernavik,72.7868,-56.1549,31.46,92,100,17.31,GL,2021-05-29 18:32:38
118,Bowen,-20.0167,148.2333,64.62,93,67,11.72,AU,2021-05-29 18:32:39
119,Dikson,73.5069,80.5464,20.28,95,14,2.55,RU,2021-05-29 18:32:39
120,Hokitika,-42.7167,170.9667,48.22,87,100,12.17,NZ,2021-05-29 18:32:40
121,Thompson,55.7435,-97.8558,59.16,55,90,18.41,CA,2021-05-29 18:30:37
122,Porbandar,21.6422,69.6093,83.64,78,100,12.48,IN,2021-05-29 18:32:40
123,Beloha,-25.1667,45.05,64.9,78,0,4.0,MG,2021-05-29 18:32:40
124,Cabo San Lucas,22.8909,-109.9124,101.52,65,40,10.36,MX,2021-05-29 18:32:41
125,Saldanha,-33.0117,17.9442,57.2,82,93,8.32,ZA,2021-05-29 18:32:11
126,Jalu,29.0331,21.5482,96.22,13,4,12.59,LY,2021-05-29 18:32:42
127,Waterloo,43.4668,-80.5164,61.65,41,20,10.0,CA,2021-05-29 18:31:02
128,Galesong,-5.3166,119.3661,75.22,79,13,3.98,ID,2021-05-29 18:32:42
129,Dombarovskiy,50.7587,59.5386,68.16,59,100,3.22,RU,2021-05-29 18:32:42
130,Chokurdakh,70.6333,147.9167,49.32,51,8,10.27,RU,2021-05-29 18:32:43
131,Falkenstein,50.4779,12.3713,53.01,70,16,13.0,DE,2021-05-29 18:32:43
132,Tungor,53.3808,142.9564,34.75,94,100,14.07,RU,2021-05-29 18:32:43
133,Taksimo,56.3444,114.8794,44.56,89,100,6.31,RU,2021-05-29 18:32:44
134,Honiara,-9.4333,159.95,76.57,89,100,2.84,SB,2021-05-29 18:32:44
135,Mastic Beach,40.7668,-72.8521,52.05,83,90,1.99,US,2021-05-29 18:32:44
136,Virginia Beach,36.8529,-75.978,78.01,86,90,13.8,US,2021-05-29 18:29:26
137,Torbay,47.6666,-52.7314,57.97,54,75,14.97,CA,2021-05-29 18:32:45
138,Telgte,51.9833,7.7833,62.51,55,20,1.97,DE,2021-05-29 18:32:45
139,Maba,24.6841,113.5984,76.77,97,100,1.36,CN,2021-05-29 18:32:46
140,Sao Joao Da Barra,-21.6403,-41.0511,89.6,43,0,11.43,BR,2021-05-29 18:32:46
141,Atar,20.5169,-13.0499,104.04,10,48,15.21,MR,2021-05-29 18:32:46
142,Hobyo,5.3505,48.5268,79.7,81,96,21.77,SO,2021-05-29 18:32:47
143,Kattivakkam,13.2167,80.3167,88.07,80,91,12.28,IN,2021-05-29 18:32:47
144,Lebu,-37.6167,-73.65,53.69,65,100,6.85,CL,2021-05-29 18:32:47
145,Le Port,-20.9373,55.2919,71.6,78,0,8.05,RE,2021-05-29 18:32:48
146,Bengkulu,-3.8004,102.2655,75.33,86,100,2.57,ID,2021-05-29 18:32:48
147,Marawi,7.9986,124.2928,73.65,93,100,1.52,PH,2021-05-29 18:32:23
148,Talnakh,69.4865,88.3972,26.98,98,97,3.85,RU,2021-05-29 18:32:49
149,Saskylakh,71.9167,114.0833,30.29,97,62,7.29,RU,2021-05-29 18:32:49
150,Madison,34.7334,-86.5667,68.0,63,90,8.05,US,2021-05-29 18:32:49
151,Mayumba,-3.432,10.6554,77.23,90,32,5.82,GA,2021-05-29 18:32:50
152,Komsomolskiy,40.4272,71.7189,78.22,27,91,4.61,UZ,2021-05-29 18:31:42
153,Saint-Philippe,-21.3585,55.7679,71.15,79,15,5.28,RE,2021-05-29 18:32:50
154,Haines Junction,60.7522,-137.5108,48.15,46,100,10.36,CA,2021-05-29 18:32:51
155,Daura,11.5538,11.4085,83.55,50,100,13.51,NG,2021-05-29 18:32:51
156,Shimoda,34.6667,138.95,68.16,84,100,8.84,JP,2021-05-29 18:32:51
157,Halifax,44.6453,-63.5724,43.68,89,100,4.0,CA,2021-05-29 18:32:51
158,Khatanga,71.9667,102.5,36.32,82,100,10.83,RU,2021-05-29 18:30:30
159,Hovd,48.0056,91.6419,49.48,57,9,9.57,MN,2021-05-29 18:30:25
160,Vila Velha,-20.3297,-40.2925,87.8,48,0,13.8,BR,2021-05-29 18:29:01
161,Aswan,24.0934,32.907,94.91,14,96,14.94,EG,2021-05-29 18:32:52
162,Hailar,49.2,119.7,52.66,61,100,3.53,CN,2021-05-29 18:32:53
163,Castro,-24.7911,-50.0119,72.54,65,9,10.33,BR,2021-05-29 18:32:53
164,Mahebourg,-20.4081,57.7,75.49,94,40,3.44,MU,2021-05-29 18:32:54
165,Okhotsk,59.3833,143.3,35.1,94,86,9.89,RU,2021-05-29 18:32:54
166,Severo-Kurilsk,50.6789,156.125,39.78,83,100,5.28,RU,2021-05-29 18:32:15
167,Nazca,-14.8333,-74.95,80.1,39,97,7.2,PE,2021-05-29 18:32:55
168,Waingapu,-9.6567,120.2641,74.75,85,67,5.14,ID,2021-05-29 18:32:55
169,Verkhnyaya Maksakovka,61.635,50.9674,48.22,81,40,6.71,RU,2021-05-29 18:32:55
170,Tautira,-17.7333,-149.15,80.62,71,100,10.47,PF,2021-05-29 18:32:56
171,Pangai,-19.8,-174.35,75.2,94,75,2.3,TO,2021-05-29 18:32:56
172,Montceau-Les-Mines,46.6667,4.3667,72.52,71,12,6.98,FR,2021-05-29 18:32:57
173,Borovoy,55.4333,86.0833,47.48,61,0,0.83,RU,2021-05-29 18:32:57
174,Trelew,-43.249,-65.3051,49.46,30,4,20.92,AR,2021-05-29 18:32:57
175,Taltal,-25.4,-70.4833,68.13,66,24,5.1,CL,2021-05-29 18:32:58
176,Byron Bay,-28.65,153.6167,58.95,77,100,15.1,AU,2021-05-29 18:32:58
177,Viedma,-40.8135,-62.9967,52.0,36,6,20.58,AR,2021-05-29 18:30:54
178,Hoi An,15.8794,108.335,84.16,84,50,5.39,VN,2021-05-29 18:32:59
179,Fuengirola,36.54,-4.6247,72.0,73,0,8.05,ES,2021-05-29 18:32:59
180,Praia Da Vitoria,38.7333,-27.0667,69.8,73,75,8.55,PT,2021-05-29 18:33:00
181,Fukue,32.6881,128.8419,67.12,67,100,3.11,JP,2021-05-29 18:33:00
182,Iqaluit,63.7506,-68.5145,30.2,74,75,21.85,CA,2021-05-29 18:29:57
183,Pathein,16.7833,94.7333,78.58,88,100,2.3,MM,2021-05-29 18:33:01
