City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
462,Marzuq,YE,77.99,few clouds,14.4,46.4667,
465,Sola,VU,79.59,overcast clouds,-13.8833,167.55,Leumerus Bungalows
466,Manggar,ID,79.9,overcast clouds,-2.8833,108.2667,Guest Hotel
477,Kloulklubed,PW,84.7,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
489,Islamnagar,IN,85.19,scattered clouds,28.3333,78.7167,AFGAN MASJID
490,Ardakan,IR,77.38,clear sky,32.31,54.0175,Ardakan Hotel
491,Kavieng,PG,81.95,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
501,Sargodha,PK,79.75,clear sky,32.0836,72.6711,Ayesha Hostel
505,Langham,CA,77.83,overcast clouds,52.3668,-106.9679,Shady Rest Motel
506,Santa Rosa,PH,85.98,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
509,Marsh Harbour,BS,78.89,heavy intensity rain,26.5412,-77.0636,Abaco Beach Resort
511,Abu Zabad,SD,89.73,scattered clouds,12.35,29.25,حامد محمد نور
513,Pemba,MZ,75.65,light rain,-12.974,40.5178,Guesthouse Samotina
516,Lethem,GY,78.26,broken clouds,3.3803,-59.7968,Savannah Inn
524,Bam,IR,85.69,clear sky,29.106,58.357,Bam Tourist Hotel
529,Itarema,BR,79.3,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
533,Nouna,BF,87.21,overcast clouds,12.7333,-3.8667,Sabunyuma So
537,Huicheng,CN,76.95,overcast clouds,23.0385,116.2899,Huilai Hotel
540,Solenzo,BF,84.31,overcast clouds,12.1833,-4.0833,
541,Buala,SB,82.72,light rain,-8.145,159.5921,Maringe Lagoon Lodge
542,Jashpurnagar,IN,79.03,broken clouds,22.9,84.15,Sagar Restaurant
544,Cabedelo,BR,75.87,clear sky,-6.9811,-34.8339,Hotel Pigalle
545,Qui Nhon,VN,82.26,scattered clouds,13.7667,109.2333,Hoang Yen Canary Hotel
546,Dakoro,NE,87.69,clear sky,14.5106,6.765,Shagon mai liverpool
547,Dawlatabad,AF,84.27,clear sky,36.4141,64.9053,WASIM ASGAR KHAN
554,Guiratinga,BR,77.41,broken clouds,-16.3494,-53.7583,Hotel Angra do Cerrado - Guiratinga MT
556,Bandarbeyla,SO,79.36,overcast clouds,9.4942,50.8122,JABIR HOTEL
559,Corsicana,US,81.25,few clouds,32.0954,-96.4689,"Holiday Inn Express & Suites Corsicana I-45, an IHG Hotel"
560,Nhulunbuy,AU,77.61,light rain,-12.2333,136.7667,East Arnhem Real Estate
562,Numan,NG,76.68,light rain,9.4667,12.0333,Zangun Motel
563,Inirida,CO,76.03,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
564,Kollam,IN,76.87,overcast clouds,8.8833,76.6,Nani Hotels and Resorts
566,Kankon,IN,80.4,scattered clouds,15.0167,74.0167,Palolem Beach Resort
571,Yanam,IN,83.34,broken clouds,16.7333,82.2167,The Regency Hotel
572,Muli,MV,83.5,broken clouds,2.9167,73.5667,Medhufushi Island Resort
574,Radhanpur,IN,83.17,clear sky,23.8333,71.6,YASH HOTEL
578,Kangaba,ML,84.63,broken clouds,11.9333,-8.4167,Hôtel Mandé
580,La Cruz,MX,87.48,clear sky,23.9167,-106.9,LIBERADOR DE CELULAS MADRE ADULTAS
581,Phan Thiet,VN,79.61,scattered clouds,10.9333,108.1,Hotel Saigon-PT
582,Minuri,PH,78.33,overcast clouds,16.535,121.8574,
586,Tiarei,PF,86.02,scattered clouds,-17.5333,-149.3333,Le Rocher de Tahiti
597,Lakhnadon,IN,85.46,broken clouds,22.6,79.6,HOTEL PRIDE
598,Nicoya,CR,85.55,broken clouds,10.1483,-85.452,Guayacan Real
605,Djougou,BJ,78.33,overcast clouds,9.7085,1.666,Hotel cathas
610,Malabo,GQ,79.68,light rain,3.75,8.7833,Hostal Residencia Morenita
615,Kuah,MY,83.5,light rain,6.3265,99.8432,Azio Hotel
619,Cobija,BO,78.98,overcast clouds,-11.0267,-68.7692,Hotel Obelisco
621,Tautira,PF,86.02,scattered clouds,-17.7333,-149.15,Pension Oaoa
626,Male,MV,83.01,clear sky,4.1748,73.5089,Hotel Octave Maldives
628,Russell,US,83.79,clear sky,32.3502,-85.1999,Macs
629,Valley Station,US,77.05,broken clouds,38.1112,-85.8702,Manor Isle Mobile Home & Extended-Stay RV Park
630,Gushikawa,JP,78.03,broken clouds,26.3544,127.8686,Kirari Guest House
637,Huangchuan,CN,77.49,scattered clouds,32.1272,115.0394,Guangzhou International Hotel
638,Lincoln,US,76.12,clear sky,40.8,-96.667,Courtyard by Marriott Lincoln Downtown/Haymarket
641,Kilindoni,TZ,77.68,light rain,-7.9139,39.6668,Bustani B&B
642,Polson,US,79.41,overcast clouds,47.6936,-114.1632,Americas Best Value Port Polson Inn
643,Tual,ID,81.86,clear sky,-5.6667,132.75,Grand Vilia Hotel
644,Dasoguz,TM,77.11,clear sky,41.8363,59.9666,Hotel Erik
646,Monrovia,LR,77.38,light rain,6.3005,-10.7969,Sunset Inn
647,San Carlos,VE,81.39,broken clouds,9.6612,-68.5827,Hotel Paternopoli
658,Aitape,PG,79.57,moderate rain,-3.1374,142.3475,
659,Bekobod,UZ,78.49,broken clouds,40.2208,69.2697,Metallurg
662,Cabinda,AO,76.62,broken clouds,-5.55,12.2,Hotel Maiombe
663,Vila Velha,BR,75.94,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
665,Rio Tuba,PH,80.87,overcast clouds,8.5061,117.4317,Tagle’s Lodging House
667,Santa Catalina,PH,80.74,moderate rain,9.3337,122.8637,Don Pacondo
673,Yilan,TW,82.36,overcast clouds,24.757,121.753,Dar Chen Hotel
